text,font,size,spacing,length,word_count,is_bold,ends_with_punct,is_upper,is_title_case,starts_with_number,relative_y,line_number,page,pred
perspectives;,ArialMT,11.039999961853027,12.5966796875,13,1,0,1,0,0,0,0.733026061395202,31,4,Paragraph
Electronic information and tools that enhance job skills and the learning,ArialMT,11.039999961853027,12.71807861328125,73,11,0,0,0,0,0,0.7490842414624763,32,4,Paragraph
experience,ArialMT,11.039999961853027,12.5966796875,10,1,0,0,0,0,0,0.7649891400578046,33,4,Paragraph
For each Ontario student it could mean:,Arial-BoldMT,11.039999961853027,24.5308837890625,39,7,1,1,0,0,0,0.7959624781753077,34,4,Paragraph
"One local point of entry to quality, curriculum- based electronic information",ArialMT,11.039999961853027,12.7843017578125,77,11,0,0,0,0,0,0.8121042733240609,35,4,Paragraph
resources and services,ArialMT,11.039999961853027,12.5966796875,22,3,0,0,0,0,0,0.8280091719193892,36,4,Paragraph
"Connection to their individual educational environment, whether at the",ArialMT,11.039999961853027,12.71807861328125,70,9,0,0,0,0,0,0.8440673519866635,37,4,Paragraph
"elementary, secondary or post-secondary levels",ArialMT,11.039999961853027,12.59661865234375,46,5,0,0,0,0,0,0.8599721735174005,38,4,Paragraph
RFP: To Develop the Ontario Digital Library Business Plan,Arial-BoldItalicMT,7.559999942779541,51.670166015625,57,9,1,0,0,0,0,0.9252122821229876,39,4,Paragraph
March 2003,Arial-BoldItalicMT,7.559999942779541,0.0,10,2,1,0,0,1,0,0.9252122821229876,40,4,Paragraph
5,Arial-BlackItalic,9.0,-1.51824951171875,1,1,0,0,0,0,1,0.923295300416272,41,4,Paragraph
5,Arial-BlackItalic,9.0,0.2430419921875,1,1,0,0,0,0,1,0.9236021716185292,42,4,Paragraph
5,Arial-BlackItalic,9.0,0.0,1,1,0,0,0,0,1,0.9236021716185292,43,4,Paragraph
5,Arial-BlackItalic,9.0,-0.2430419921875,1,1,0,0,0,0,1,0.923295300416272,44,4,Paragraph
"Confidence that the services and resources people are using are credible,",ArialMT,11.039999961853027,0.0,73,11,0,0,0,0,0,0.0888030504939532,0,5,Paragraph
available when they need them and adaptable to different learning styles,ArialMT,11.039999961853027,12.59661865234375,72,11,0,0,0,0,0,0.1047078720246902,1,5,Paragraph
For each Ontario library it could mean:,Arial-BoldMT,11.039999961853027,25.259544372558597,39,7,1,1,0,0,0,0.1366012361314561,2,5,Paragraph
One point of entry for themselves and their clientele to quality electronic,ArialMT,11.039999961853027,12.784339904785156,75,12,0,0,0,0,0,0.1527430794455788,3,5,Paragraph
"resources and services that support and enhance their collections, programs",ArialMT,11.039999961853027,12.59661865234375,75,10,0,0,0,0,0,0.1686479009763159,4,5,Paragraph
and services,ArialMT,11.039999961853027,12.59661865234375,12,2,0,0,0,0,0,0.1845527225070529,5,5,Paragraph
"The opportunity to show case their local community, collections, services, and",ArialMT,11.039999961853027,12.71807861328125,78,11,0,0,0,0,0,0.2006109025743272,6,5,Paragraph
expertise,ArialMT,11.039999961853027,12.5965576171875,9,1,0,0,0,0,0,0.2165156470404731,7,5,Paragraph
"The opportunity to gain from the provincial, collaborative partnership in order",ArialMT,11.039999961853027,12.71807861328125,79,11,0,0,0,0,0,0.2325738271077474,8,5,Paragraph
to provide a seamless gateway to digital resources and services,ArialMT,11.039999961853027,12.59661865234375,63,10,0,0,0,0,0,0.2484786486384844,9,5,Paragraph
For the Ontario government it could mean:,Arial-BoldMT,11.039999961853027,25.25965881347656,41,7,1,1,0,0,0,0.2803721572413589,10,5,Paragraph
"A point of entry to information services and resources for all Ontario citizens,",Arial-ItalicMT,11.039999961853027,12.662887573242188,80,13,0,0,0,0,0,0.2963606516520182,11,5,Paragraph
connecting to portal initiatives .,ArialMT,11.039999961853027,12.71807861328125,34,5,0,1,0,0,0,0.3124188317192925,12,5,Paragraph
Support of the Ontario E-Learning strategy through a collaborative digital,ArialMT,11.039999961853027,12.596603393554688,74,10,0,0,0,0,0,0.3283236339838818,13,5,Paragraph
library initiative that positions Ontario on the global e-learning scene,ArialMT,11.039999961853027,12.71807861328125,72,10,0,0,0,0,0,0.3443818140511561,14,5,Paragraph
Improved access and flexibility for all students at all ages and stages,ArialMT,11.039999961853027,12.596649169921877,71,12,0,0,0,0,0,0.3602866741141887,15,5,Paragraph
(supports Ontario’s lifelong learning strategy),ArialMT,11.039999961853027,12.596649169921877,47,5,0,0,0,0,0,0.3761915341772214,16,5,Paragraph
The opportunity to address emerging job skills shortages and facilitate school,ArialMT,11.039999961853027,12.71807861328125,78,11,0,0,0,0,0,0.3922497142444957,17,5,Paragraph
to work and job to job transitions with the necessary information and,ArialMT,11.039999961853027,12.596649169921877,69,12,0,0,0,0,0,0.4081545743075284,18,5,Paragraph
knowledge supports and tools,ArialMT,11.039999961853027,12.71807861328125,28,4,0,0,0,0,0,0.4242127543748027,19,5,Paragraph
ODL will be an incorporated non-profit organization governed by a Board of Directors elected,ArialMT,11.039999961853027,25.20428466796875,92,14,0,0,0,0,0,0.4560363461272885,20,5,Paragraph
by a voting membership. The Board will include representatives from all stakeholders. We,ArialMT,11.039999961853027,12.71807861328125,88,13,0,0,0,0,0,0.4720945261945628,21,5,Paragraph
envision a governance model similar to that prepared for the province’s ORION network.,ArialMT,11.039999961853027,12.596649169921877,86,13,0,1,0,0,0,0.4879993862575955,22,5,Paragraph
"More information regarding the envisioned phasing, funding and resources required for the",ArialMT,11.039999961853027,24.71856689453125,89,12,0,0,0,0,0,0.5192096979931148,23,5,Paragraph
ODL can be found in the appendixes.,ArialMT,11.039999961853027,12.596649169921877,35,7,0,1,0,0,0,0.5351145580561474,24,5,Paragraph
The Business Plan to be Developed,Arial-Black,12.0,35.609283447265625,33,6,0,0,0,0,0,0.5800757745299676,25,5,Paragraph
The business plan which needs to be developed for the ODL must be a formal business plan,ArialMT,11.039999961853027,42.3118896484375,88,17,0,0,0,0,0,0.6334998776214291,26,5,Paragraph
"that documents and clearly communicates the ODL’s services, funding and governance",ArialMT,11.039999961853027,12.596649169921877,82,11,0,0,0,0,0,0.6494047376844618,27,5,Paragraph
"structures, as well as implementation plans for 2004-2005, and operational plans for 2005-",ArialMT,11.039999961853027,12.5966796875,90,13,0,0,0,0,0,0.6653096362797901,28,5,Paragraph
"2007. The planning process must also secure the full commitment of all stakeholders, as",ArialMT,11.039999961853027,12.71807861328125,87,14,0,0,0,0,1,0.6813678163470644,29,5,Paragraph
represented on the Steering Committee.,ArialMT,11.039999961853027,12.59661865234375,38,5,0,1,0,0,0,0.6972726378778015,30,5,Paragraph
"Specifically, the business plan must include:",ArialMT,11.039999961853027,24.1224365234375,45,6,0,1,0,0,0,0.7277302597508286,31,5,Paragraph
"how the ODL will be implemented, including the timeline",ArialMT,11.039999961853027,25.32574462890625,55,9,0,0,0,0,0,0.7597072100398516,32,5,Paragraph
the financial plan for the implementation,ArialMT,11.039999961853027,12.71807861328125,41,6,0,0,0,0,0,0.775765390107126,33,5,Paragraph
"the financial plan for the first 2 operating years, including capital and operating costs,",ArialMT,11.039999961853027,12.59661865234375,90,14,0,0,0,0,0,0.791670211637863,34,5,Paragraph
"revenues, etc.",ArialMT,11.039999961853027,12.59661865234375,14,2,0,1,0,0,0,0.8075750331686,35,5,Paragraph
a financial forecast for the succeeding 2 operating years,ArialMT,11.039999961853027,12.7181396484375,57,9,0,0,0,0,0,0.8236332903004656,36,5,Paragraph
the services and products to be delivered by the ODL,ArialMT,11.039999961853027,12.59661865234375,52,10,0,0,0,0,0,0.8395381118312026,37,5,Paragraph
how the ODL will operate and be managed following the implementation,ArialMT,11.039999961853027,12.71807861328125,68,11,0,0,0,0,0,0.855596291898477,38,5,Paragraph
"who will be involved, and what their role/responsibility will be, for both the",ArialMT,11.039999961853027,12.59661865234375,78,13,0,0,0,0,0,0.871501113429214,39,5,Paragraph
implementation and operational stages,ArialMT,11.039999961853027,12.59661865234375,37,4,0,0,0,0,0,0.8874059349599511,40,5,Paragraph
RFP: To Develop the Ontario Digital Library Business Plan,Arial-BoldItalicMT,7.559999942779541,29.942626953125,57,9,1,0,0,0,0,0.9252122821229876,41,5,Paragraph
March 2003,Arial-BoldItalicMT,7.559999942779541,0.0,10,2,1,0,0,1,0,0.9252122821229876,42,5,Paragraph
6,Arial-BlackItalic,9.0,-1.51824951171875,1,1,0,0,0,0,1,0.923295300416272,43,5,Paragraph
6,Arial-BlackItalic,9.0,0.2430419921875,1,1,0,0,0,0,1,0.9236021716185292,44,5,Paragraph
6,Arial-BlackItalic,9.0,0.0,1,1,0,0,0,0,1,0.9236021716185292,45,5,Paragraph
6,Arial-BlackItalic,9.0,-0.2430419921875,1,1,0,0,0,0,1,0.923295300416272,46,5,Paragraph
the marketing and communications plan for the ODL,ArialMT,11.039999961853027,0.0,49,8,0,0,0,0,0,0.0888030504939532,0,6,Paragraph
the commitment of all stakeholders to their responsibilities,ArialMT,11.039999961853027,12.59661865234375,60,8,0,0,0,0,0,0.1047078720246902,1,6,Paragraph
The process of developing this business plan must be extremely consultative to ensure that,ArialMT,11.039999961853027,25.32574462890625,90,14,0,0,0,0,0,0.1366848223137133,2,6,Paragraph
all stakeholders are engaged in creating a synergistic ODL organization. The proposal must,ArialMT,11.039999961853027,12.71807861328125,90,13,0,0,0,0,0,0.1527430023809876,3,6,Paragraph
indicate how this consultative process will be approached.,Arial-ItalicMT,11.039999961853027,12.651809692382812,58,8,0,1,0,0,0,0.1687175095683396,4,6,Paragraph
"The business plan for the ODL must address significant issues. There are, for example,",ArialMT,11.039999961853027,25.270553588867188,86,14,0,0,0,0,0,0.2006247742007477,5,6,Paragraph
enormous differences in the financial resources available to libraries mandated to provide,ArialMT,11.039999961853027,12.59661865234375,90,12,0,0,0,0,0,0.2165295957314847,6,6,Paragraph
"similar services. Some post-secondary and public libraries, particularly those in large urban",ArialMT,11.039999961853027,12.71807861328125,93,12,0,0,0,0,0,0.232587775798759,7,6,Paragraph
"areas, have the facilities, funding and technological infrastructure necessary to service their",ArialMT,11.039999961853027,12.59661865234375,95,12,0,0,0,0,0,0.2484925973294961,8,6,Paragraph
"patrons with electronic services and resources.  Many others, particularly in rural regions, do",ArialMT,11.039999961853027,12.59661865234375,95,13,0,0,0,0,0,0.2643974188602332,9,6,Paragraph
not. The proposal must indicate how these issues will be approached.,ArialMT,11.039999961853027,12.71807861328125,68,11,0,1,0,0,0,0.2804555989275075,10,6,Paragraph
Milestones,Arial-Black,12.0,48.29917907714844,10,1,0,0,0,1,0,0.341439410893604,11,6,Paragraph
1) A preliminary report will be issued during June 2003.,Arial-ItalicMT,11.039999961853027,30.7271728515625,56,10,0,1,0,0,1,0.3802363463122435,12,6,Paragraph
"2) It is expected that an Interim Report, suitable for distribution to the broader library",Arial-ItalicMT,11.039999961853027,24.59710693359375,90,15,0,0,0,0,1,0.4112932995112255,13,6,Paragraph
"community will be available by August 1, 2003 and that there will be an opportunity",Arial-ItalicMT,11.039999961853027,12.71807861328125,83,15,0,0,0,0,0,0.4273514795784998,14,6,Paragraph
for responses to be evaluated.,Arial-ItalicMT,11.039999961853027,12.596649169921877,30,5,0,1,0,0,0,0.4432563396415325,15,6,Paragraph
3) The business plan must be completed and approved by the ODL Steering Committee,Arial-ItalicMT,11.039999961853027,24.71856689453125,81,14,0,0,0,0,1,0.4744666513770517,16,6,Paragraph
"no later than September 30, 2003.",Arial-ItalicMT,11.039999961853027,12.596649169921877,33,6,0,1,0,0,0,0.4903715114400844,17,6,Paragraph
Approach and Specific Proposal Requirements,Arial-Black,12.0,35.5257568359375,43,5,0,0,0,0,0,0.5352272650208136,18,6,Paragraph
The firm/consultant (or proposed team of consultants) will be expected to work closely with,ArialMT,11.039999961853027,30.7919921875,91,14,0,0,0,0,0,0.5741060430353339,19,6,Paragraph
the ODL Steering Committee. Terms of reference for the Committee are in the appendix.,ArialMT,11.039999961853027,12.596649169921877,85,14,0,1,0,0,0,0.5900109030983665,20,6,Paragraph
"Given the consultative nature of this business planning process, the firm/consultant will also",ArialMT,11.039999961853027,12.71807861328125,94,13,0,0,0,0,0,0.6060690831656408,21,6,Paragraph
be expected to travel and communicate regularly with various stakeholders as well as with,ArialMT,11.039999961853027,12.596649169921877,89,14,0,0,0,0,0,0.6219739432286735,22,6,Paragraph
electronic resource publishers/vendors.,ArialMT,11.039999961853027,12.59661865234375,39,3,0,1,0,0,0,0.6378787647594105,23,6,Paragraph
The proposal should include the following information:,ArialMT,11.039999961853027,24.718658447265625,54,7,0,1,0,0,0,0.6690891920918166,24,6,Paragraph
a) name of the firm/consultant,ArialMT,11.039999961853027,24.59710693359375,30,5,0,0,0,0,0,0.7001461452907987,25,6,Paragraph
"b) names of those individuals who will be engaged in this project, their specific",ArialMT,11.039999961853027,12.71807861328125,81,14,0,0,0,0,0,0.7162043253580729,26,6,Paragraph
responsibilities on this project and relevant experience/qualifications,ArialMT,11.039999961853027,12.59661865234375,71,7,0,0,0,0,0,0.73210914688881,27,6,Paragraph
c) description of similar engagements that highlight the firm’s experience in business,ArialMT,11.039999961853027,12.59661865234375,86,12,0,0,0,0,0,0.748013968419547,28,6,Paragraph
planning and building stakeholder commitment,ArialMT,11.039999961853027,12.71807861328125,44,5,0,0,0,0,0,0.7640721484868214,29,6,Paragraph
d) references with details of work completed for these references,ArialMT,11.039999961853027,12.59661865234375,65,10,0,0,0,0,0,0.7799769700175584,30,6,Paragraph
"e) description of the approach that will be used for completing the business plan,",ArialMT,11.039999961853027,12.7181396484375,82,14,0,0,0,0,0,0.7960352271494239,31,6,Paragraph
including a timeline,ArialMT,11.039999961853027,12.59661865234375,20,3,0,0,0,0,0,0.811940048680161,32,6,Paragraph
"f) cost to complete the study including estimated expenses (i.e.: travel, etc.) and payment",ArialMT,11.039999961853027,12.59661865234375,91,14,0,0,0,0,0,0.827844870210898,33,6,Paragraph
structure,ArialMT,11.039999961853027,12.71807861328125,9,1,0,0,0,0,0,0.8439030502781724,34,6,Paragraph
RFP: To Develop the Ontario Digital Library Business Plan,Arial-BoldItalicMT,7.559999942779541,64.39691162109375,57,9,1,0,0,0,0,0.9252122821229876,35,6,Paragraph
March 2003,Arial-BoldItalicMT,7.559999942779541,0.0,10,2,1,0,0,1,0,0.9252122821229876,36,6,Paragraph
7,Arial-BlackItalic,9.0,-1.51824951171875,1,1,0,0,0,0,1,0.923295300416272,37,6,Paragraph
7,Arial-BlackItalic,9.0,0.2430419921875,1,1,0,0,0,0,1,0.9236021716185292,38,6,Paragraph
7,Arial-BlackItalic,9.0,0.0,1,1,0,0,0,0,1,0.9236021716185292,39,6,Paragraph
7,Arial-BlackItalic,9.0,-0.2430419921875,1,1,0,0,0,0,1,0.923295300416272,40,6,Paragraph
Evaluation and Awarding of Contract,Arial-Black,12.0,0.0,35,5,0,0,0,0,0,0.1026515286378186,0,7,Paragraph
The contract will be awarded to the bidder whose submission offers the best value; the contract will,ArialMT,11.039999961853027,39.672019958496094,100,17,0,0,0,0,0,0.152742462928849,1,7,Paragraph
not necessarily be awarded to the lowest bidder. We reserve the right not to award the contract to,ArialMT,11.039999961853027,12.71807861328125,98,18,0,0,0,0,0,0.1688006429961233,2,7,Paragraph
any of the bidders responding to this RFP and we may seek further response.,ArialMT,11.039999961853027,12.59661865234375,75,14,0,1,0,0,0,0.1847054645268604,3,7,Paragraph
"Specifically, proposals will be evaluated proposals according to the following criteria:",ArialMT,11.039999961853027,24.59710693359375,88,11,0,1,0,0,0,0.2157624177258424,4,7,Paragraph
Quality of the proposal /approach outlined for undertaking the business planning process,ArialMT,11.039999961853027,37.4366455078125,88,12,0,0,0,0,0,0.2630309095286359,5,7,Paragraph
Demonstrated experience,ArialMT,11.039999961853027,12.71807861328125,23,2,0,0,0,0,0,0.2790890895959103,6,7,Paragraph
"Cost, including expenses",ArialMT,11.039999961853027,12.59661865234375,24,3,0,0,0,0,0,0.2949939111266473,7,7,Paragraph
Timeline and projected completion date,ArialMT,11.039999961853027,12.59661865234375,38,5,0,0,0,0,0,0.3108987326573844,8,7,Paragraph
Other relevant factors as determined by the ODL Steering Committee,ArialMT,11.039999961853027,13.203842163085938,66,10,0,0,0,0,0,0.3275702505400686,9,7,Paragraph
Questions regarding this RFP should be directed by e-mail only to Michael Ridley,ArialMT,11.039999961853027,25.314727783203125,80,13,0,0,0,0,0,0.3595332906703756,10,7,Paragraph
(mridley@uoguelph.ca).,ArialMT,11.039999961853027,12.71807861328125,22,1,0,1,0,0,0,0.3755914707376499,11,7,Paragraph
Bidders are asked not to contact any other member of the ODL Catalyst T,ArialMT,11.039999961853027,25.314727783203125,71,14,0,0,0,0,0,0.4075545108679569,12,7,Paragraph
eam or the ODL Steering,ArialMT,11.039999961853027,0.0,23,5,0,0,0,0,0,0.4075545108679569,13,7,Paragraph
Committee.,ArialMT,11.039999961853027,12.596649169921877,10,1,0,1,0,1,0,0.4234593709309895,14,7,Paragraph
RFP: To Develop the Ontario Digital Library Business Plan,Arial-BoldItalicMT,7.559999942779541,397.3883056640625,57,9,1,0,0,0,0,0.9252122821229876,15,7,Paragraph
March 2003,Arial-BoldItalicMT,7.559999942779541,0.0,10,2,1,0,0,1,0,0.9252122821229876,16,7,Paragraph
8,Arial-BlackItalic,9.0,-1.51824951171875,1,1,0,0,0,0,1,0.923295300416272,17,7,Paragraph
8,Arial-BlackItalic,9.0,0.2430419921875,1,1,0,0,0,0,1,0.9236021716185292,18,7,Paragraph
8,Arial-BlackItalic,9.0,0.0,1,1,0,0,0,0,1,0.9236021716185292,19,7,Paragraph
8,Arial-BlackItalic,9.0,-0.2430419921875,1,1,0,0,0,0,1,0.923295300416272,20,7,Paragraph
Appendix A:  ODL Envisioned Phases & Funding,Arial-Black,12.0,0.0,44,7,0,0,0,0,0,0.136136324718745,0,8,Paragraph
Phase I:  Business Planning Timeline: March 2003 – September 2003,Arial-BoldMT,9.960000038146973,30.32251739501953,27,4,1,0,0,1,0,0.1744223315306384,1,8,Paragraph
"Funding Requested: ~$100,000 jointly funded by stakeholder groups and the provincial government.",Arial-BoldMT,9.960000038146973,11.52374267578125,96,12,1,1,0,0,0,0.2180602333762429,3,8,Paragraph
Result: The ODL business plan,Arial-BoldMT,9.960000038146973,22.91796875,29,5,1,0,0,0,0,0.2469970626060408,4,8,Paragraph
"The first phase will be to build the ODL business plan. This plan will clearly define the ODL’s services,",ArialMT,9.960000038146973,23.107177734375,105,19,0,0,0,0,0,0.2761727920686356,5,8,Paragraph
"funding and governance structures, as well as implementation plans for 2003-2005. It will also secure",ArialMT,9.960000038146973,11.52374267578125,101,15,0,0,0,0,0,0.290722972214824,6,8,Paragraph
the full commitment of all stakeholders and scope the operational plan for ODL for 2006 and beyond.,ArialMT,9.960000038146973,11.52374267578125,99,17,0,1,0,0,0,0.3052731523610125,7,8,Paragraph
"Given the number and diversity of stakeholders involved, the business planning process must be a fully",ArialMT,9.960000038146973,22.91796875,102,16,0,0,0,0,0,0.3342099815908104,8,8,Paragraph
consultative approach. To ensure that the planning results in a workable plan with the full commitment,ArialMT,9.960000038146973,11.523712158203123,102,16,0,0,0,0,0,0.3487601232047033,9,8,Paragraph
"of all stakeholders it must have competent, dedicated staffing and monies for the travel and",ArialMT,9.960000038146973,11.523712158203123,92,15,0,0,0,0,0,0.3633102648185961,10,8,Paragraph
communication components so critical in a consultative process.,ArialMT,9.960000038146973,11.523712158203123,63,8,0,1,0,0,0,0.3778604064324889,11,8,Paragraph
Phase II: Implementing and Transitioning,Arial-BoldMT,9.960000038146973,34.371978759765625,40,5,1,0,0,0,0,0.4212593695130011,12,8,Paragraph
Timeline: April 2004 – December 2006,Arial-BoldMT,9.960000038146973,23.0374755859375,36,6,1,0,0,1,0,0.4503470912124171,13,8,Paragraph
Funding Requested: Funding from other states and provinces suggest that the ODL could receive,Arial-BoldMT,9.960000038146973,11.523681640625,93,14,1,0,0,0,0,0.4648971942940144,14,8,Paragraph
"funding of up to $50 Million (over 3 years). Funding to be provided partnership of government, library",Arial-ItalicMT,9.960000038146973,11.523712158203123,102,17,0,0,0,0,0,0.4794473359079072,15,8,Paragraph
stakeholders and other interested parties.,Arial-ItalicMT,9.960000038146973,11.404205322265623,42,5,0,1,0,0,0,0.493846585052182,16,8,Paragraph
Result: The ODL is implemented and validated,Arial-BoldMT,9.960000038146973,23.0374755859375,44,7,1,0,0,0,0,0.522934306751598,17,8,Paragraph
The second phase will be to implement the ODL based on the business plan. This phase recognizes,ArialMT,9.960000038146973,23.107208251953125,95,17,0,0,0,0,0,0.5521100747464883,18,8,Paragraph
that for ODL to be optimally successful libraries must transition to a new way of doing business and,ArialMT,9.960000038146973,11.523712158203123,100,18,0,0,0,0,0,0.5666602163603811,19,8,Paragraph
providing services. The transition must occur while libraries continue to provide existing services and,ArialMT,9.960000038146973,11.404205322265623,103,14,0,0,0,0,0,0.5810594655046559,20,8,Paragraph
"respond to current challenges. This implementation phase will funded by a partnership of government,",ArialMT,9.960000038146973,11.523712158203123,100,14,0,0,0,0,0,0.5956096071185488,21,8,Paragraph
library stakeholders and other interested parties as a means to quickly jumpstart the ODL.,ArialMT,9.960000038146973,11.523712158203123,90,14,0,1,0,0,0,0.6101597487324416,22,8,Paragraph
The seed money requested will allow libraries to realign their budgets and services as the infrastructure,ArialMT,9.960000038146973,23.03744506835937,105,16,0,0,0,0,0,0.639247431899562,23,8,Paragraph
"and content of the ODL is created and secured. Some of the funding will be new money, although there",ArialMT,9.960000038146973,11.404266357421877,100,19,0,0,0,0,0,0.653646758108428,24,8,Paragraph
is every indication that existing budgets and methods of operating may be modified as a result of,Arial-ItalicMT,9.960000038146973,11.4539794921875,97,17,0,0,0,0,0,0.6681088534268466,25,8,Paragraph
"recommendations . During this phase the polices, procedures, governance structures and accountability",Arial-ItalicMT,9.960000038146973,11.473876953125,101,12,0,0,0,0,0,0.6825960718020044,26,8,Paragraph
"mechanisms of the ODL will be put in place. Pilot projects will be initiated, evaluated and expanded.",ArialMT,9.960000038146973,11.643310546875,101,17,0,1,0,0,0,0.6972972214824021,27,8,Paragraph
"Information resources will be identified, contracts for these resources will be negotiated and resources",ArialMT,9.960000038146973,11.523681640625,104,14,0,0,0,0,0,0.7118473245639994,28,8,Paragraph
will be made deployed through the ODL. Regular evaluation during this phase will ensure the ODL is,ArialMT,9.960000038146973,11.523681640625,98,17,0,0,0,0,0,0.7263974276455966,29,8,Paragraph
achieving its objectives and is accountable to its key communities.,ArialMT,9.960000038146973,11.523681640625,67,10,0,1,0,0,0,0.7409475307271938,30,8,Paragraph
Phase III: Operating and Growing the ODL,Arial-BoldMT,9.960000038146973,22.8482666015625,40,7,1,0,0,0,0,0.7697963521938131,31,8,Paragraph
Timeline: January 2007 -,Arial-BoldMT,9.960000038146973,23.0374755859375,24,4,1,0,0,1,0,0.7988840738932291,32,8,Paragraph
Funding: $50 Million annually ($35 Million requested from government),Arial-BoldMT,9.960000038146973,11.52374267578125,69,9,1,0,0,0,0,0.8134342540394176,33,8,Paragraph
Result: The ODL is fully operational and sustainable,Arial-BoldMT,9.960000038146973,22.91796875,52,8,1,0,0,0,0,0.8423710832692156,34,8,Paragraph
In the third phase the ODL moves into the operational stage. Ontarians will experience the full benefits,ArialMT,9.960000038146973,23.10723876953125,104,17,0,0,0,0,0,0.8715468897964015,35,8,Paragraph
of the initiative and libraries will consolidate support around the ODL to grow resources and extend,ArialMT,9.960000038146973,11.523681640625,100,16,0,0,0,0,0,0.8860969928779987,36,8,Paragraph
RFP: To Develop the Ontario Digital Library Business Plan,Arial-BoldItalicMT,7.559999942779541,30.97930908203125,57,9,1,0,0,0,0,0.9252122821229876,37,8,Paragraph
March 2003,Arial-BoldItalicMT,7.559999942779541,0.0,10,2,1,0,0,1,0,0.9252122821229876,38,8,Paragraph
9,Arial-BlackItalic,9.0,-1.51824951171875,1,1,0,0,0,0,1,0.923295300416272,39,8,Paragraph
9,Arial-BlackItalic,9.0,0.2430419921875,1,1,0,0,0,0,1,0.9236021716185292,40,8,Paragraph
9,Arial-BlackItalic,9.0,0.0,1,1,0,0,0,0,1,0.9236021716185292,41,8,Paragraph
9,Arial-BlackItalic,9.0,-0.2430419921875,1,1,0,0,0,0,1,0.923295300416272,42,8,Paragraph
capabilities. The challenge is to secure resources sufficient to both sustain the original investments and,ArialMT,9.960000038146973,0.0,106,15,0,0,0,0,0,0.0890568049267084,0,9,Paragraph
to enhance the ODL.,ArialMT,9.960000038146973,11.52374267578125,19,4,0,1,0,0,0,0.1036069850728969,1,9,Paragraph
The ongoing funding of the ODL will be based on a partnership model involving all the key participants,ArialMT,9.960000038146973,22.91796875,102,18,0,0,0,0,0,0.1325438143026949,2,9,Paragraph
"(i.e. government, libraries, donors, public and private sectors). All participants (i.e. beneficiaries) are",ArialMT,9.960000038146973,11.52374267578125,107,13,0,0,0,0,0,0.1470939944488833,3,9,Paragraph
expected to make financial contributions to the ODL. It is important in achieving the full impact of the,ArialMT,9.960000038146973,11.52374267578125,104,18,0,0,0,0,0,0.1616441745950718,4,9,Paragraph
"ODL on Ontario’s economy, society and learning support that all library sectors are participants",ArialMT,9.960000038146973,11.52374267578125,96,14,0,0,0,0,0,0.1761943547412602,5,9,Paragraph
"(university, colleges, public libraries and schools).",ArialMT,9.960000038146973,11.52374267578125,53,6,0,1,0,0,0,0.1907445348874487,6,9,Paragraph
"The proposed funding model requires a continuing government investment, but also recognizes that as",ArialMT,9.960000038146973,17.51953125,99,14,0,0,0,0,0,0.2128651551526002,7,9,Paragraph
the ODL matures a growing share of ODL funding will come from libraries and non-governmental,ArialMT,9.960000038146973,11.4041748046875,92,15,0,0,0,0,0,0.2272643657645794,8,9,Paragraph
sources. During the 3-year implementation phase (2004 – 2006) libraries will realign their budgets to,ArialMT,9.960000038146973,11.52374267578125,101,15,0,0,0,0,0,0.2418145459107678,9,9,Paragraph
enable ongoing funding contributions to ODL. During the same period ODL must build the proposed,ArialMT,9.960000038146973,11.52374267578125,95,15,0,0,0,0,0,0.2563647260569562,10,9,Paragraph
endowment and secure public and private sector gifts and/or in-kind contributions. The following chart,ArialMT,9.960000038146973,11.52374267578125,102,14,0,0,0,0,0,0.2709149062031447,11,9,Paragraph
outlines the model. This model is based on these assumptions:,ArialMT,9.960000038146973,11.52374267578125,61,10,0,1,0,0,0,0.2854650863493331,12,9,Paragraph
1. that ODL expenditures will increase by 50% over a 10 year period,ArialMT,9.960000038146973,17.5196533203125,67,13,0,0,0,0,1,0.3075858607436671,13,9,Paragraph
2. that government funding will decrease from 70% to 45% during that 10 year period,ArialMT,9.960000038146973,17.400146484375,83,15,0,0,0,0,1,0.329555742668383,14,9,Paragraph
"3. that library contributions, endowment and gifts/in-kind funding will increase from 30% to 55%",ArialMT,9.960000038146973,17.5196533203125,96,14,0,0,0,0,1,0.351676517062717,15,9,Paragraph
during the same period,ArialMT,9.960000038146973,11.523712158203123,22,4,0,0,0,0,0,0.3662266586766098,16,9,Paragraph
OVERVIEW OF ODL FUNDING MODEL,Arial-BoldMT,9.960000038146973,28.9736328125,29,5,1,0,1,0,0,0.4028095283893623,17,9,Paragraph
Funding Source 2007,Arial-BoldMT,12.0,23.0948486328125,14,2,1,0,0,1,0,0.4319696908045297,18,9,Paragraph
2017,Arial-BoldMT,12.0,0.0,4,1,1,0,0,0,1,0.4319696908045297,20,9,Paragraph
Government,ArialMT,9.960000038146973,14.613006591796877,10,1,0,0,0,1,0,0.4504204567032631,21,9,Paragraph
$35M (70%),ArialMT,9.960000038146973,0.0,10,2,0,0,1,1,0,0.4504204567032631,22,9,Paragraph
$33.75M (45%),ArialMT,9.960000038146973,0.0,13,2,0,0,1,1,0,0.4504204567032631,23,9,Paragraph
Libraries,ArialMT,9.960000038146973,12.001800537109377,9,1,0,0,0,1,0,0.4655742452602194,24,9,Paragraph
